case_id,N,L,off,K_active,seed,sample_id,h1_raw,h2_raw,hidden_raw,ours_raw,h1_db,h2_db,hidden_db,ours_db,ours_method,used_greedy,used_rescue,delta_db_ours_minus_hidden
82,1000,2,0.5,500,42,16,21222463.85592927,15338323.406830862,38614158.55792701,59719865.719615795,73.26795802605753,71.85777890580654,75.8674657555583,77.76118822541008,H1+swap,False,False,1.893722469851781
83,1000,2,0.25,750,42,17,80742647.6425975,89307454.77287848,176192290.04922447,176196813.03607726,79.07102986314294,79.50887712321875,82.45986900317021,82.45998048835604,H3-hidden+swap,False,False,0.00011148518582615452
84,1000,2,0.5,500,42,17,36193395.134399116,38206813.92817602,54215870.24879747,58392553.795733705,75.58629324168582,75.82140823317728,77.34126433265385,77.66357469516427,H3-hidden+swap,False,False,0.32231036251042156
85,1000,2,0.25,750,42,18,140491139.92477226,118236455.75099999,223861392.49182576,223868888.829391,81.47648936318598,80.72751402860179,83.49979200888045,83.4999374365263,H3-hidden+swap,False,False,0.00014542764584746237
86,1000,2,0.5,500,42,18,64624093.17123914,50042902.42666002,64294118.16723053,76562972.71444358,78.10394461966756,76.9934249029652,78.0817124408509,78.84018787470137,greedy+swap,True,False,0.758475433850478
87,1000,2,0.25,750,42,19,55113962.859367125,46304350.77567594,134855009.57738492,134890125.48938724,77.41261639225071,76.6562179942174,81.29867084206815,81.29980158697607,H3-hidden+swap,False,False,0.0011307449079254184
88,1000,2,0.5,500,42,19,25120296.354013767,19697915.394028656,40937577.75799572,41538166.13902701,74.00024758638155,72.94420267746682,76.12122142247892,76.18447319033896,H3-hidden+swap,False,False,0.06325176786003794
89,1000,2,0.25,750,42,20,49563952.095796466,99763765.33446258,143817619.5361743,150410828.71624303,76.95165928554813,79.98972832141695,81.57812096050868,81.77279104090844,H1+swap,False,False,0.19467008039976008
90,1000,2,0.5,500,42,20,22538782.545873128,42438091.281115584,41242984.57166653,67809313.30340938,73.5293045350738,76.27755842601586,76.15350085711988,78.3128934635238,H1+swap,False,False,2.1593926064039266
91,1000,2,0.25,750,42,21,49027473.471882954,41542125.56201593,135368185.53127664,136449953.31986147,76.90439513366685,76.18488714063253,81.31516607689494,81.34973391431858,H3-hidden+swap,False,False,0.034567837423637116
92,1000,2,0.5,500,42,21,22531924.958454173,17331427.81339601,38427434.40677433,61175901.72249851,73.52798296167808,72.38834342629434,75.8464138992427,77.865803794986,H1+swap,False,False,2.019389895743288
93,1000,2,0.25,750,42,22,72492088.80157943,54192598.408372164,146323473.63676202,150550230.68873802,78.60290613780792,77.33939974916497,81.65314002496869,81.77681425320509,H3-hidden+swap,False,False,0.12367422823639629
94,1000,2,0.5,500,42,22,33867954.689730026,23820518.671230804,44325383.36186849,54428906.63904725,75.29788970078789,73.76951213637147,76.46652500420143,77.3582961035239,H1+swap,False,False,0.8917710993224688
95,1000,2,0.25,750,42,23,81431206.03610057,96739397.87201215,164986615.29541823,174103542.46511677,79.10790866954753,79.85603379913339,82.17448713067698,82.40807607748009,H3-hidden+swap,False,False,0.23358894680310982
96,1000,2,0.5,500,42,23,37585068.981204756,42244105.661762506,48795980.83947788,63878031.59842455,75.7501535165885,76.25766120216997,76.88384052102708,78.0535152488796,H2+swap,False,False,1.1696747278525237
97,1000,2,0.25,750,42,24,118961267.45605561,97614644.7185747,193817258.79633486,198075298.8484837,80.75405582667887,79.89514977946926,82.87392446947368,82.96830319846129,H3-hidden+swap,False,False,0.09437872898760702
98,1000,2,0.5,500,42,24,53273162.64262739,41208142.905636966,62420281.1051594,63766373.59784301,77.26508480105085,76.14983042964106,77.95325720147075,78.04591719304517,H3-hidden+swap,True,False,0.09265999157442195
99,1000,2,0.25,750,42,25,94252397.3062639,73500915.24180791,187009934.57973257,187023589.17957145,79.7429240528251,78.66292747002453,82.71864678293477,82.71896387308784,H3-hidden+swap,False,False,0.000317090153075128
100,1000,2,0.5,500,42,25,42279397.65273366,30566684.474610273,57792452.307492316,82908420.319137,76.26128791361089,74.85248333967459,77.61871123277864,79.18598640471026,H1+swap,False,False,1.5672751719316267
